"StockCode","Description","price_med","price_mean","quantity_med","quantity_mean","price_range_normalized","quant_range_normalized","normalized_slope","norm_slope_rob","seasonal","weeks_till_first_order","num_customers","num_orders","Australia","Austria","Bahrain","Belgium","Brazil","Canada","Channel_Islands","Cyprus","Czech_Republic","Denmark","EIRE","European_Community","Finland","France","Germany","Greece","Hong_Kong","Iceland","Israel","Italy","Japan","Lebanon","Lithuania","Malta","Netherlands","Norway","Poland","Portugal","RSA","Saudi_Arabia","Singapore","Spain","Sweden","Switzerland","United_Arab_Emirates","United_Kingdom","USA"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER",3.2,3.72,1930,5380,2.35877011967998,2.66386262874457,-0.533796202751765,-0.475839466066355,0.568029776564772,1.62162698412698,857,2198,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0
"71053","WHITE METAL LANTERN",6.02,5.975,511,487.5,1.82608232831441,2.2033602933121,-0.937303810896846,-0.93670189474099,0.914324216178772,1.62162698412698,150,333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"84406B","CREAM CUPID HEARTS COAT HANGER",3.95,4.953,30,201.6,2.78218288088336,2.49508730225359,-0.440962187978083,-0.202294053980223,1.09614299033819,1.62162698412698,134,284,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"84029G","KNITTED UNION FLAG HOT WATER BOTTLE",7.46,6.17571428571429,400,474.714285714286,2.24134716791774,2.96076416705325,-0.728719064473829,-0.663386017105817,1.16119675228172,1.62162698412698,212,459,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"84029E","RED WOOLLY HOTTIE WHITE HEART.",7.46,6.58090909090909,210,433.181818181818,3.19587571502698,2.72436997889677,-0.599675544532906,-0.584559622421556,0.62932553154377,1.62162698412698,229,429,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"22752","SET 7 BABUSHKA NESTING BOXES",8.395,10.3333333333333,118,297.5,2.46853157941875,2.35815788842542,-0.434792195579528,-0.428736178808005,0.982223077583957,1.62162698412698,187,378,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0
"21730","GLASS STAR FROSTED T-LIGHT HOLDER",7.455,7.3325,124,129.5,1.86792384689021,1.89636257519904,-0.98103734262361,-0.977978280775013,1.00941851659021,1.62162698412698,80,131,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"22633","HAND WARMER UNION JACK",3.115,3.17166666666667,221.5,811.166666666667,2.23857085078745,2.54145389584188,-0.609286670015326,-0.299616775859581,0.943122180561464,1.6218253968254,301,479,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"22632","HAND WARMER RED POLKA DOT",2.1,2.816,288,894.8,1.94877596053146,2.25900581287676,-0.633697967749804,-0.714605763949621,1.21089220947026,1.6218253968254,261,392,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"84879","ASSORTED COLOUR BIRD ORNAMENT",1.69,2.16,384,7287.8,2.00652995118423,2.19351110716641,-0.524629158691631,-0.684698643142133,0.502926229632656,1.62242063492063,677,1452,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0
"22745","POPPY'S PLAYHOUSE BEDROOM ",3.36,3.41285714285714,78,288,2.73709248978345,2.75897057304867,-0.607777772308756,-0.1420743967228,1.09764901943506,1.62242063492063,217,421,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
"22748","POPPY'S PLAYHOUSE KITCHEN",4.13,3.65571428571429,68,301.714285714286,2.48720513598294,2.73692737138028,-0.607294197848345,-0.115055873201963,1.42647123261815,1.62242063492063,234,434,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
"22749","FELTCRAFT PRINCESS CHARLOTTE DOLL",7.46,6.234,71,475,2.22136613270452,2.29199355414965,-0.865247582207218,-0.832464024638768,0.957251515960349,1.62242063492063,276,449,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
"22310","IVORY KNITTED MUG COSY ",2.47,2.4375,176.5,167,1.85717926373448,1.92166813771112,-0.98945387220255,-0.989009742122312,1.14834558501979,1.62242063492063,30,109,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"84969","BOX OF 6 ASSORTED COLOUR TEASPOONS",4.25,5.532,34,111.6,1.97106126281046,2.20730560187032,-0.522946056266411,-0.678673896212471,1.50905206187396,1.62242063492063,49,210,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"22623","BOX OF VINTAGE JIGSAW BLOCKS ",8.37,8.23666666666667,46.5,156.5,2.29427130765774,2.29083721241324,-0.670095729429336,-1.05320115362628,1.21791732351336,1.62242063492063,166,235,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"22622","BOX OF VINTAGE ALPHABET BLOCKS",16.37,16.23,175,223.666666666667,2.37819458889633,2.44117151743921,-0.891636708424114,-0.784602653317569,0.679189695401442,1.62242063492063,175,267,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
